"filename", "language", "JSON with Comments", "HTML", "JavaScript", "TypeScript", "Markdown", "TypeScript JSX", "XML", "JSON", "CSS", "comment", "blank", "total"
"c:\Users\user\Desktop\mallikni\client\.eslintrc.cjs", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\user\Desktop\mallikni\client\PROGRESS.md", "Markdown", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 19, 40
"c:\Users\user\Desktop\mallikni\client\README.md", "Markdown", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\user\Desktop\mallikni\client\index.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\user\Desktop\mallikni\client\models.ts", "TypeScript", 0, 0, 0, 55, 0, 0, 0, 0, 0, 5, 7, 67
"c:\Users\user\Desktop\mallikni\client\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 4490, 0, 0, 1, 4491
"c:\Users\user\Desktop\mallikni\client\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 1, 42
"c:\Users\user\Desktop\mallikni\client\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\user\Desktop\mallikni\client\public\images\blob-1.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\user\Desktop\mallikni\client\public\images\blob-2.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\user\Desktop\mallikni\client\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 8, 125
"c:\Users\user\Desktop\mallikni\client\src\assets\countries.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 7838, 0, 0, 1, 7839
"c:\Users\user\Desktop\mallikni\client\src\components\auth\AuthActivation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 8, 48
"c:\Users\user\Desktop\mallikni\client\src\components\auth\AuthForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 15, 116
"c:\Users\user\Desktop\mallikni\client\src\components\auth\AuthInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 8, 81
"c:\Users\user\Desktop\mallikni\client\src\components\common\FadeInDiv.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 9, 48
"c:\Users\user\Desktop\mallikni\client\src\components\common\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 3, 22
"c:\Users\user\Desktop\mallikni\client\src\components\common\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 6, 65
"c:\Users\user\Desktop\mallikni\client\src\components\common\Links.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 5, 48
"c:\Users\user\Desktop\mallikni\client\src\components\common\PriceCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"c:\Users\user\Desktop\mallikni\client\src\components\common\SideMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 7, 67
"c:\Users\user\Desktop\mallikni\client\src\components\feed\Checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 5, 39
"c:\Users\user\Desktop\mallikni\client\src\components\feed\CountFilter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 5, 76
"c:\Users\user\Desktop\mallikni\client\src\components\feed\FeedFilters.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 243, 0, 0, 0, 0, 32, 275
